Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
Last 25,NearPerfect,5,M7,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.2,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M8,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.32,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M9,25,1,0.04,0.012737262737262736,0.3184315684315684,3.1403921568627453,0.0010121996993108454,0.203516913922414,0.0794675999223652,15.978073006771485,0.27419720149668037,0.27355452890942183,,1.36,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M10,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.2,,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M1,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.56,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M2,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.32,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M3,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.72,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M4-A,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.64,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M4-B,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.4,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M4-C,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.64,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M4-D,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.88,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M4-E,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.52,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M4-F,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.72,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M5,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.4,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M6,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.68,1.0,Insufficient tail sample
